,price,vendor_id,ram,rom,brand_id,model,network,currency
0,2464950,1,,128,1.0,galaxy s20 fe,4g,COP
1,2699950,1,,256,1.0,galaxy s20 fe,4g,COP
2,2447960,1,,64,2.0,se,4g,COP
3,708900,1,,64,8.0,g10,4g,COP
4,1224900,1,,,3.0,note 10s,4g,COP
5,1699950,1,,128,1.0,galaxy a52,4g,COP
6,797900,1,,128,8.0,g20,4g,COP
7,399900,1,,32,6.0,1se,4g,COP
8,249900,1,,,10.0,blade a31 lite,4g,COP
9,797900,1,,64,11.0,a16g,4g,COP
10,479900,1,,,10.0,blade a51g,4g,COP
11,757900,1,,128,1.0,galaxy a12g dual si,4g,COP
12,1220950,1,,,1.0,galaxy a32g dual si,4g,COP
13,797900,1,,64,3.0,10,4g,COP
14,3857900,1,,256,7.0,edge 20 pro,5g,COP
15,1570900,1,,128,12.0,50 lite,5g,COP
16,1963900,1,,128,13.0,v21,4g,COP
17,1249900,1,,,7.0,g50 5,5g,COP
18,1075950,1,,128,1.0,galaxy a22g dual si,4g,COP
19,2528950,1,,256,1.0,galaxy s20 feg dual si,4g,COP
20,797900,1,,64,11.0,a16,4g,COP
21,610900,1,,,10.0,blade a71,4g,COP
22,2031950,1,,128,1.0,galaxy a52s 5,5g,COP
23,795900,1,,128,7.0,g20,4g,COP
24,542900,1,,32,14.0,c11,4g,COP
25,666900,1,,64,1.0,galaxy a03s,4g,COP
26,1569900,1,,128,8.0,x20 5,5g,COP
27,1055900,1,,128,3.0,10,4g,COP
28,1700900,1,,,7.0,g60s,4g,COP
29,689900,1,,,4.0,y6pg,4g,COP
30,5132950,1,,,1.0,galaxy z flip3 5,5g,COP
31,797900,1,,128,13.0,y33,4g,COP
32,1549900,1,,128,13.0,y53s,4g,COP
33,2576900,1,,128,12.0,50,5g,COP
34,3083900,1,,256,12.0,50,5g,COP
35,686900,1,,64,13.0,y20g,4g,COP
36,799900,1,,128,1.0,galaxy a21sg,4g,COP
37,429900,1,,,10.0,blade a51g,4g,COP
38,1437900,1,,128,13.0,y33sg,4g,COP
39,1570900,1,,128,12.0,50 liteg,5g,COP
40,1570900,1,,128,12.0,50 liteg,5g,COP
41,797900,1,,64,11.0,a16g,4g,COP
42,2699950,1,,256,1.0,galaxy s20 feg,4g,COP
43,1963900,1,,128,13.0,v21g,4g,COP
44,1268950,1,,,1.0,galaxy a32g,4g,COP
45,399900,1,,32,8.0,c01 plusg,4g,COP
46,666900,1,,64,1.0,galaxy a03sg,4g,COP
47,3991950,1,,256,1.0,galaxy s21 fe,5g,COP
48,1437900,1,,128,13.0,y33s,4g,COP
49,795900,1,,128,7.0,g20g,4g,COP
50,2053900,1,,128,7.0,edge 20 lite,4g,COP
51,795900,1,,128,7.0,g20g,4g,COP
