,name,price
0,IPHONE 13 PRO MAX 256GB,$6.399.901
1,IPHONE 13 PRO MAX 128GB,$5.799.901
2,IPHONE 13 PRO 128GB,$5.299.901
3,Samsung Galaxy ZFLIP3 8/256,$4.999.900
4,IPHONE 13  256GB,$4.799.901
5,Samsung Galaxy S21+,$4.299.900
6,iPhone 12 128GB,$3.739.901
7,Samsung S21FE 5G 256GB + buds2,$3.499.900
8,iPhone 12 64GB,$3.452.901
9,Samsung Galaxy S20 FE 256GB DSIM,$2.699.900
10,Samsung Galaxy S20 FE 128GB DSIM,$2.199.900
11,XIAOMI 11 LITE 5G NE 6/128GB,$1.999.999
12,MOTO G100,$1.999.900
13,iPhone SE 64 GB,$1.979.901
14,Samsung Galaxy A72 128GB,$1.799.900
15,Vivo V21 128GB,$1.799.900
16,Samsung A52S 5G 6GB/128GB,$1.699.900
17,Oppo Reno 6 Lite,$1.699.900
18,Samsung Galaxy A52,$1.399.900
19,Vivo Y53s + Banda,$1.259.900
20,MOTO G60S 6/128 GB,$1.199.900
21,VIVO Y33S 128GB/8GB,$1.129.900
22,Samsung Galaxy A32,$1.099.900
23,Huawei Y9A 128GB,$1.049.900
24,OPPO A54,$835.900
25,VIVO Y21S,$799.900
26,Moto G30 128 GB,$779.900
27,Samsung Galaxy A21s,$699.900
28,Vivo Y20S,$699.900
29,vivo Y11s,$699.900
30,MOTO G20 ED 4/128 GB,$679.900
31,Samsung Galaxy A12 128GB DSIM,$669.900
32,HUAWEI NOVA Y60 4/64 GB,$650.900
33,Nokia G20 128GB,$629.900
34,Samsung Galaxy M12 128gb,$619.900
35,NOKIA C30,$599.900
36,VIVO Y20,$579.900
37,Samsung Galaxy A12 64GB,$569.900
38,Moto E40,$549.900
39,Samsung Galaxy A03S 64GB,$529.900
40,Nokia G10 64GB,$529.900
41,Huawei Y6P con HMS,$499.900
42,MOTO E20 2/32 GB,$429.900
43,ZTE Blade A51,$429.900
44,Xiaomi Redmi 9A,$399.900
45,MOTOROLA E6I 32GB,$349.900
46,Huawei Y5P con HMS,$349.900
47,Nokia 6300 4G,$159.900
48,VIVO Y21S,$799.900
49,Samsung Galaxy A03S 64GB,$529.900
50,Nokia 1.4 32GB,$279.900
