,name,price
0,Celular SAMSUNG Galaxy M12 128GB Azul,$619.900
1,Celular MOTOROLA G31 128GB Azul,$799.900
2,Celular XIAOMI REDMI 10 128GB Gris,$796
3,Celular SAMSUNG Galaxy A12 64GB Negro,$599.900
4,Celular XIAOMI REDMI 10 128GB Azul,$796
5,Celular MOTOROLA G20 128GB VERDE,$699.900
6,"iPhone 11 128 GB ""Blanco",$2.909
7,Celular SAMSUNG Galaxy A12 64GB Azul,$599.900
8,Celular Xiaomi Redmi Note 10S 128GB Gris,$1.099.900
9,Celular Xiaomi Redmi Note 10S 128GB Azul,$1.099.900
10,Celular XIAOMI REDMI 9A 32GB  Verde - Peacock Green,$399.900
11,Celular SAMSUNG Galaxy M12 128GB Negro,$619.900
12,"iPhone 11 128 GB ""Morado",$2.909
13,"iPhone 11 128 GB ""Negro",$2.909
14,Celular XIAOMI REDMI 9C 64GB Gris,$499.900
15,Celular MOTOROLA G20 128GB AZUL,$699.900
16,Celular SAMSUNG Galaxy A52 128GB Azul,$1.399.090
17,Celular SAMSUNG M32 128 GB Negro,$1.065.090
18,Celular XIAOMI REDMI 9A 32GB  Gris - Granite Gray,$399.900
19,Celular MOTOROLA E20 32GB Gris,$469.900
20,iPhone 13 Pro Max 128GB Azul Sierra,$5.849
21,Celular XIAOMI Redmi Note 10S 128GB Gris,$1.099.900
22,Celular SAMSUNG Galaxy S20 FE 256GB Azul,$2.699
23,Celular SAMSUNG M32 128 GB Azul,$1.065.090
24,"iPhone 11 64 GB ""Negro",$2.699
