,name,price
0,iPhone 13 mini128 GB,$3.729.929
1,iPhone 13 mini256 GB,$4.259.929
2,iPhone 13 mini512 GB,$5.329.929
3,iPhone 13128 GB,$4.265.929
4,iPhone 13256 GB,$4.799.929
5,iPhone 13512 GB,$5.855.929
6,iPhone 13 Pro128 GB,$5.339.929
7,iPhone 13 Pro256 GB,$5.869.929
8,iPhone 13 Pro512 GB,$6.939.929
9,iPhone 13 Pro1 TB,$7.999.929
10,iPhone 13 Pro Max128 GB,$5.866.929
11,iPhone 13 Pro Max256 GB,$6.399.929
12,iPhone 13 Pro Max512 GB,$7.465.929
13,iPhone 13 Pro Max1 TB,$8.529.929
14,iPhone XS64 GB,$2.999.929
15,iPhone 11128 GB,$2.909.929
16,iPhone 11 Pro Max64 GB,$5.349.929
17,iPhone XS Max64 GB,$3.399.929
18,iPhone 11 Pro64 GB,$4.849.929
19,iPhone 12 Mini64 GB,$3.159.929
20,iPhone SE 2020128 GB,$2.349.929
21,iPhone 12128 GB,$3.999.929
22,iPhone 12 Pro Max128 GB,$5.295.929
23,iPhone 1264 GB,$3.699.929
24,iPhone 12 Pro128 GB,$4.864.929
25,iPhone 12 Mini128 GB,$3.459.929
26,Moto E6 Play,$299.950
27,Moto G764 GB,$599.950
28,Moto E2032 GB,$439.950
29,Moto G20128 GB,$679.909
30,Moto G60128 GB,$1.299.909
31,Moto G60s128 GB,$1.099.909
32,Moto Edge 20 Lite128 GB,$1.599.909
33,Moto G8 Plus,$599.950
34,Moto One Hyper,$797.909
35,Motorola E6 Plus64 GB,$499.950
36,Moto G9 play,$529.950
37,Motorola One Action,$782.909
38,Motorola One Macro,$479.950
39,Moto G30128 GB,$729.909
40,Moto One Fusion64 GB,$549.950
41,Moto One Fusion128 GB,$649.909
42,Motorola One Zoom128 GB,$1.299.909
43,Moto E6S32 GB,$349.950
44,Moto E7 Plus,$419.950
45,Moto E732 GB,$419.950
46,Moto G100,$1.999.909
47,Motorola One Macro,$479.950
48,Moto E7i Power,$399.950
49,Xiaomi 11T Pro256 GB,$2.699.889
50,Xiaomi 11T128GB,$2.399.889
51,Xiaomi Redmi 10128 GB,$796.889
52,Xiaomi 11 Lite 5G128 GB,$1.999.889
53,Xiaomi Redmi Note 9,$796.889
54,Xiaomi MI 10T PRO,$2.699.889
55,Xiaomi Redmi Note 8,$599.950
56,Xiaomi Redmi Note 10 Pro,$1.599.889
57,Xiaomi Redmi Note 8128 GB,$649.889$752.889
58,Xiaomi Redmi 9C,$499.950
59,Xiaomi Redmi 9T,$769.889
60,Xiaomi Redmi Note 10S,$1.099.889
61,Xiaomi Redmi 9,$599.950
62,Xiaomi Redmi 9A,$399.950
63,Xiaomi Redmi Note 10 5G,$1.099.889
64,Xiaomi MI 11 Lite,$1.999.889
65,Xiaomi Redmi Note 8 2021,$699.889
66,SAMSUNG S21 FE 256GB,$3.499.900
67,Samsung Galaxy A0132 GB,$369.950
68,Samsung Galaxy A1264GB,$599.950
69,Samsung Galaxy S21128 GB,$3.599.899
70,Galaxy Zflip 3256 GB,$4.999.900
71,Galaxy ZFold 3256 GB,$7.999.900
72,Samsung Galaxy A31128 GB,$797.939
73,Samsung Galaxy A21s64 GB,$649.939
74,Samsung Galaxy A21s128 GB,$729.939
75,Samsung Galaxy A20s,$399.950
76,Samsung Galaxy A51,$1.149.939
77,Samsung Galaxy A71,$1.529.939
78,Samsung Galaxy A80,$1.649.950
79,Samsung Note 10,$2.299.939
80,Samsung Note 10+,$2.199.939
81,Samsung Galaxy A30s128GB,$782.939
82,Samsung Galaxy A20,$419.950
83,Samsung Galaxy A10s,$399.950
84,Samsung Galaxy A10,$379.950
85,Samsung Note 10 Lite,$2.499.939
86,Samsung S20 FE128 GB,$2.199.939$2.299.939
87,Samsung Galaxy A01 Core,$299.950
88,Samsung Galaxy S20+,$3.999.939
89,Samsung Galaxy S20,$3.999.939
90,Samsung Galaxy S21256GB,$3.899.899
91,Samsung Galaxy S21+256GB,$3.999.899$4.299.899
92,Samsung Galaxy Note 20,$3.999.939
93,Samsung Galaxy A52,$1.399.939
94,Samsung Galaxy A72,$1.799.939
95,Samsung Galaxy A22128GB,$797.939
96,Samsung Galaxy A12128GB,$669.939
97,Samsung Galaxy A0232GB,$379.950
98,Samsung A02S64GB,$499.950
99,Samsung Galaxy S20 Ultra,$4.999.939
100,Samsung Galaxy A11,$499.950$529.950
101,Samsung Galaxy S21 Ultra 256GB,$5.499.899$6.149.899
102,Samsung Galaxy M12,$619.939
103,Samsung Note 20 Ultra,$4.999.939
104,Samsung Galaxy S10+,$2.199.939
105,Samsung Galaxy Z Flip,$4.499.900
106,Samsung Galaxy A32,$1.099.939
107,Vivo Y21s,$835.879
108,Vivo Y33S,$1.129.879
109,Vivo Y51,$835.879
110,Vivo Y53s,$1.259.879
111,Vivo Y20,$579.950
112,Vivo Y20S,$699.879
113,Vivo Y11S,$529.950
114,Vivo V21,$1.799.879
115,Huawei Nova 9128 GB,$2.199.919
116,Huawei Nova Y6032 GB,$549.950
117,Huawei Nova 8i128 GB,$1.299.919
118,Huawei P30 Lite,$1.099.919
119,Huawei Y7 2019,$499.950
120,Huawei Y9S,$1.299.919
121,Huawei Y6 2019,$399.950
122,Huawei P30,$1.999.919
123,Huawei Y5 2018,$279.950
124,Huawei P40 Lite,$995.919
125,Huawei Y8P,$579.950$709.919
126,Huawei Y7P Arthur,$284.950$569.950
127,Huawei Y9A,$995.919
128,Huawei P40 Pro,$3.299.919
129,Huawei Y7A,$329.950$639.950
130,Huawei Y5P,$319.950$359.950
131,Huawei Y8S,$689.919
132,Huawei Y6P,$459.950
133,Nokia 2.3,$369.950
134,Nokia 6.2,$699.950
135,Nokia 3.1 Plus,$499.950
136,Nokia 1.3,$319.950
137,Nokia 5.3,$599.950
138,Nokia 2.4,$429.950
139,Nokia 4.2,$449.950
140,Nokia 5.4,$602.869$669.869
141,Nokia C1 Plus,$241.950
142,Nokia 3.4,$491.950
143,Nokia 1.4,$359.950
144,Nokia C3,$332.950
145,Nokia G20,$679.869
146,Nokia G10,$519.950
147,Nokia C01 Plus,$299.950
148,Alcatel 116 GB,$199.950
149,Alcatel 3 2019,$399.950
150,Alcatel 1,$209.950
151,Alcatel 1S 2020,$399.950
152,Alcatel 1B,$269.950
153,Alcatel 1B32 GB,$269.950
154,Alcatel 1L+32 GB,$359.950
155,TCL 20E128 GB,$549.950
156,TCL 20SE128 GB,$709.849
157,Realme 7i,$538.950$769.859
158,OPPO A16,$699.839
